na,canvas,confidence,area_km2,reg_voters_form47,title_form47,method,note
NA-22,C014_Mardan,medium,299,,,composition: tehsil+capacity-split,"geoBoundaries MARDAN polygon = pre-2022 Mardan tehsil = todays Mardan(335km2)+Garhi Kapura(143)+Rustam(379). NA-21 takes Rustam(N), NA-22 Garhi Kapura(E)+Mardan city, NA-23 the rural SW remainder + southern Takht Bhai."
NA-23,C014_Mardan,medium,611,458114,Mardan-III,composition: tehsil+capacity-split,"geoBoundaries MARDAN polygon = pre-2022 Mardan tehsil = todays Mardan(335km2)+Garhi Kapura(143)+Rustam(379). NA-21 takes Rustam(N), NA-22 Garhi Kapura(E)+Mardan city, NA-23 the rural SW remainder + southern Takht Bhai."
NA-24,C015_Charsadda,high,628,504270,Charsadda-I,composition: whole-tehsil,"Clean whole-tehsil split, no partial tehsil. Tangi+Shabqadar (806,766 in 2017) vs Charsadda tehsil (804,194) balance to 0.3%. Corroborated by winner Anwar Taj (Shabqadar) taking NA-24."
NA-25,C015_Charsadda,high,555,562398,Charsadda-II,composition: whole-tehsil,"Clean whole-tehsil split, no partial tehsil. Tangi+Shabqadar (806,766 in 2017) vs Charsadda tehsil (804,194) balance to 0.3%. Corroborated by winner Anwar Taj (Shabqadar) taking NA-24."
NA-28,C018_Peshawar,low,369,396045,Peshawar-I,composition: tehsil+capacity-split,LOW CONFIDENCE. No 2023 boundary document reachable; the geoBoundaries Peshawar I-IV polygons are an obsolete subdivision that does not map to the 2023 tehsils. Only FR Peshawar->NA-30 and Cantonment->NA-31 are solidly sourced. The rest is an anchored partition from press descriptions of the five seats geography. Sheet digitisation (archive has 3-4 Peshawar sheets) should replace this.
NA-29,C018_Peshawar,low,391,318774,Peshawar-II,composition: tehsil+capacity-split,LOW CONFIDENCE. No 2023 boundary document reachable; the geoBoundaries Peshawar I-IV polygons are an obsolete subdivision that does not map to the 2023 tehsils. Only FR Peshawar->NA-30 and Cantonment->NA-31 are solidly sourced. The rest is an anchored partition from press descriptions of the five seats geography. Sheet digitisation (archive has 3-4 Peshawar sheets) should replace this.
NA-30,C018_Peshawar,low,693,404622,Peshawar-III,composition: tehsil+capacity-split,LOW CONFIDENCE. No 2023 boundary document reachable; the geoBoundaries Peshawar I-IV polygons are an obsolete subdivision that does not map to the 2023 tehsils. Only FR Peshawar->NA-30 and Cantonment->NA-31 are solidly sourced. The rest is an anchored partition from press descriptions of the five seats geography. Sheet digitisation (archive has 3-4 Peshawar sheets) should replace this.
NA-31,C018_Peshawar,low,254,399278,Peshawar-IV,composition: tehsil+capacity-split,LOW CONFIDENCE. No 2023 boundary document reachable; the geoBoundaries Peshawar I-IV polygons are an obsolete subdivision that does not map to the 2023 tehsils. Only FR Peshawar->NA-30 and Cantonment->NA-31 are solidly sourced. The rest is an anchored partition from press descriptions of the five seats geography. Sheet digitisation (archive has 3-4 Peshawar sheets) should replace this.
NA-32,C018_Peshawar,low,108,588973,Peshawar-V,composition: tehsil+capacity-split,LOW CONFIDENCE. No 2023 boundary document reachable; the geoBoundaries Peshawar I-IV polygons are an obsolete subdivision that does not map to the 2023 tehsils. Only FR Peshawar->NA-30 and Cantonment->NA-31 are solidly sourced. The rest is an anchored partition from press descriptions of the five seats geography. Sheet digitisation (archive has 3-4 Peshawar sheets) should replace this.
NA-33,C019_Nowshera,medium,1091,444342,Nowshera-I,composition: tehsil+capacity-split,"Daily Times + Wikipedia: NA-33 = Jehangira tehsil + Nowshera city/Cantt + Risalpur (the E/NE two-thirds); NA-34 = Pabbi tehsil + the southern fringe (Cherat, Saleh Khana, Shahkot, Mohib Banda, Khesgi)."
NA-34,C019_Nowshera,medium,945,452745,Nowshera-II,composition: tehsil+capacity-split,"Daily Times + Wikipedia: NA-33 = Jehangira tehsil + Nowshera city/Cantt + Risalpur (the E/NE two-thirds); NA-34 = Pabbi tehsil + the southern fringe (Cherat, Saleh Khana, Shahkot, Mohib Banda, Khesgi)."
NA-43,C028_DeraIsmailKhan_Tank,medium,5415,392214,Tank-cum-D.I. Khan,composition: tehsil+capacity-split,LokSujag (verbatim): NA-43 = Tank district incl. Jandola + Kalachi and Paniala tehsils entire + Yarik Qanungoi of D.I.Khan tehsil. Paniala is the N/NW part of the Paharpur polygon. NA-44 = D.I.Khan city+Cantt + rest of Paharpur; NA-45 = Paroa+Daraban+Darazinda + southern rural D.I.Khan tehsil.
NA-44,C028_DeraIsmailKhan_Tank,medium,2676,391882,D.I. Khan-I,composition: tehsil+capacity-split,LokSujag (verbatim): NA-43 = Tank district incl. Jandola + Kalachi and Paniala tehsils entire + Yarik Qanungoi of D.I.Khan tehsil. Paniala is the N/NW part of the Paharpur polygon. NA-44 = D.I.Khan city+Cantt + rest of Paharpur; NA-45 = Paroa+Daraban+Darazinda + southern rural D.I.Khan tehsil.
NA-45,C028_DeraIsmailKhan_Tank,medium,5582,320473,D.I. Khan-II,composition: tehsil+capacity-split,LokSujag (verbatim): NA-43 = Tank district incl. Jandola + Kalachi and Paniala tehsils entire + Yarik Qanungoi of D.I.Khan tehsil. Paniala is the N/NW part of the Paharpur polygon. NA-44 = D.I.Khan city+Cantt + rest of Paharpur; NA-45 = Paroa+Daraban+Darazinda + southern rural D.I.Khan tehsil.
NA-46,C029_Islamabad,low,357,350581,ICT-I Islamabad,composition: tehsil+capacity-split,"LOW CONFIDENCE. Every reachable description of NA-46/47/48 is 2018-vintage (they are the renumbered NA-52/53/54); no 2023 ICT boundary document was obtainable. Three-way anchored partition: NA-46 west (Tarnol/Golra/G-10 westward), NA-47 centre + north-east (Red Zone, F/G-5..9, Bhara Kahu, Chattar), NA-48 east/south-east (Expressway to Rawat, Kuri, Tumair)."
NA-47,C029_Islamabad,low,351,433200,Islamabad-II,composition: tehsil+capacity-split,"LOW CONFIDENCE. Every reachable description of NA-46/47/48 is 2018-vintage (they are the renumbered NA-52/53/54); no 2023 ICT boundary document was obtainable. Three-way anchored partition: NA-46 west (Tarnol/Golra/G-10 westward), NA-47 centre + north-east (Red Zone, F/G-5..9, Bhara Kahu, Chattar), NA-48 east/south-east (Expressway to Rawat, Kuri, Tumair)."
NA-48,C029_Islamabad,low,353,299247,Islamabad-III,composition: tehsil+capacity-split,"LOW CONFIDENCE. Every reachable description of NA-46/47/48 is 2018-vintage (they are the renumbered NA-52/53/54); no 2023 ICT boundary document was obtainable. Three-way anchored partition: NA-46 west (Tarnol/Golra/G-10 westward), NA-47 centre + north-east (Red Zone, F/G-5..9, Bhara Kahu, Chattar), NA-48 east/south-east (Expressway to Rawat, Kuri, Tumair)."
NA-254,C099_Jaffarabad_JhalMagsi_Kachhi,medium,11655,324739,Jhal Magsi-cum-Kachhi-cum-Nasirabad,composition: whole-tehsil,"Form-47 titles confirm NA-254 Jhal Magsi-cum-Kachhi-cum-Nasirabad / NA-255 Sohbatpur-cum-Jaffarabad-cum-Usta Muhammad-cum-Nasirabad. Nasirabad is the split district. Of the 16 possible tehsil assignments only 4 leave BOTH seats contiguous (constituencies must be contiguous by law): Baba Kot alone, Tamboo+Baba Kot, DMJ+Tamboo+Baba Kot, or all four to NA-254. All-four contradicts the cum-Nasirabad element of the NA-255 title; DMJ+Tamboo+Baba Kot would reverse the observed electorate ranking. Resolved on FAFEN district voter rolls (Jhal Magsi 78,208 + Kachhi 153,974 = 232,182; NA-254 = 324,739), which force NA-254 to draw ~92,600-115,000 electors from Nasirabad, i.e. ~36-45% of the district (Nasirabad total 254,567) - NOT the small slice a population-parity assumption implies. Nasirabad tehsil population shares: DMJ 53.0, Tamboo 29.8, Baba Kot 10.7, Chhater 6.4. TAMBOO+BABA KOT = 40.5% (~103,100 electors) is the only option that is both contiguous and inside that band. NOT documented - inference from contiguity + FAFEN rolls. NOTE the geoBoundaries Surab polygon falls inside this canvas but Surab district actually belongs to NA-261 - it is deliberately unassigned and absorbed by nearest-core fill."
NA-255,C099_Jaffarabad_JhalMagsi_Kachhi,medium,5045,531704,Sohbatpur-cum-Jaffarabad-cum-Usta Muhammad-cum-Nasirabad,composition: whole-tehsil,"Form-47 titles confirm NA-254 Jhal Magsi-cum-Kachhi-cum-Nasirabad / NA-255 Sohbatpur-cum-Jaffarabad-cum-Usta Muhammad-cum-Nasirabad. Nasirabad is the split district. Of the 16 possible tehsil assignments only 4 leave BOTH seats contiguous (constituencies must be contiguous by law): Baba Kot alone, Tamboo+Baba Kot, DMJ+Tamboo+Baba Kot, or all four to NA-254. All-four contradicts the cum-Nasirabad element of the NA-255 title; DMJ+Tamboo+Baba Kot would reverse the observed electorate ranking. Resolved on FAFEN district voter rolls (Jhal Magsi 78,208 + Kachhi 153,974 = 232,182; NA-254 = 324,739), which force NA-254 to draw ~92,600-115,000 electors from Nasirabad, i.e. ~36-45% of the district (Nasirabad total 254,567) - NOT the small slice a population-parity assumption implies. Nasirabad tehsil population shares: DMJ 53.0, Tamboo 29.8, Baba Kot 10.7, Chhater 6.4. TAMBOO+BABA KOT = 40.5% (~103,100 electors) is the only option that is both contiguous and inside that band. NOT documented - inference from contiguity + FAFEN rolls. NOTE the geoBoundaries Surab polygon falls inside this canvas but Surab district actually belongs to NA-261 - it is deliberately unassigned and absorbed by nearest-core fill."
NA-258,C102_Gwadar_Kech_Panjgur,medium,25897,225058,Panjgur-cum-Kech,composition: whole-tehsil,"Form-47: NA-258 Panjgur-cum-Kech, NA-259 Kech-cum-Gwadar. Whole Panjgur district -> NA-258, whole Gwadar district -> NA-259, Kech split with the sourced direction ""NA-259 covers southern parts of Kech"": Turbat/Tump/Mand/Dasht south to NA-259, Buleda/Hoshab/Zamuran/Balnigor north to NA-258. Tehsil-level assignment is inferred, only the N/S direction is sourced. RESOLVED FROM THE SHEET (Abdul Ghafoor, NA-258/259 representation): its table defines NA-259 = District Gwadar (305,160) + District Kech (696,791) EXCLUDING Sub-Division Buleda, Sub-Tehsil Zamran, Sub-Tehsil Hoshab, and UCs Sami (Turbat), Shahrak, Nodiz and Nasirabad. So NA-258 takes Buleda + Zamuran + Hoshab only (~34% of Kech population); Tump, Mand, Dasht, Balnigor and Turbat all stay in NA-259. This overrides the earlier roll-arithmetic guess that put Tump in NA-258."
NA-259,C102_Gwadar_Kech_Panjgur,medium,33510,304040,Kech-cum-Gwadar,composition: whole-tehsil,"Form-47: NA-258 Panjgur-cum-Kech, NA-259 Kech-cum-Gwadar. Whole Panjgur district -> NA-258, whole Gwadar district -> NA-259, Kech split with the sourced direction ""NA-259 covers southern parts of Kech"": Turbat/Tump/Mand/Dasht south to NA-259, Buleda/Hoshab/Zamuran/Balnigor north to NA-258. Tehsil-level assignment is inferred, only the N/S direction is sourced. RESOLVED FROM THE SHEET (Abdul Ghafoor, NA-258/259 representation): its table defines NA-259 = District Gwadar (305,160) + District Kech (696,791) EXCLUDING Sub-Division Buleda, Sub-Tehsil Zamran, Sub-Tehsil Hoshab, and UCs Sami (Turbat), Shahrak, Nodiz and Nasirabad. So NA-258 takes Buleda + Zamuran + Hoshab only (~34% of Kech population); Tump, Mand, Dasht, Balnigor and Turbat all stay in NA-259. This overrides the earlier roll-arithmetic guess that put Tump in NA-258."
NA-262,C105_Quetta,high,3710,239192,Quetta-I,"sheet-split: Mobeen Khilji NA-262,263,264 Quetta, outline-fit","LOW CONFIDENCE. All three seats are Quetta-only (Form-47). NA-262 is the rural ring (Panjpai + Dasht + most of Saddar). The NA-263/NA-264 line inside Quetta city is undocumented - ECP splits the city by census charge. Shares set from Form-47 electorates (NA-262 239,192 / NA-263 418,280 / NA-264 196,762). CORRECTION applied after verification: the COD Quetta district polygon wrongly swallows the Mastung DASHT tehsil (~1,100 km2 of a 4,183 km2 canvas vs the true Quetta ~2,653 km2) - Dasht is carved out and transferred to NA-261 Surab-cum-Kalat-cum-Mastung. Wikipedia gives NA-262 = Kuchlak + Saddar (the outer ring, 28% of the district electorate) and NA-264 = Quetta City areas plus census charges 13-14 (Kechi Baig, Shaboo, Shadinzai, on the west/south-west), leaving NA-263 as the largest block (Sariab plus the balance of the city). Saddar is split three ways anchored on each seat already-assigned cells. The archive holds ~6 Quetta representation sheets; digitising them should replace this."
NA-263,C105_Quetta,high,199,418280,Quetta-II,"sheet-split: Mobeen Khilji NA-262,263,264 Quetta, outline-fit","LOW CONFIDENCE. All three seats are Quetta-only (Form-47). NA-262 is the rural ring (Panjpai + Dasht + most of Saddar). The NA-263/NA-264 line inside Quetta city is undocumented - ECP splits the city by census charge. Shares set from Form-47 electorates (NA-262 239,192 / NA-263 418,280 / NA-264 196,762). CORRECTION applied after verification: the COD Quetta district polygon wrongly swallows the Mastung DASHT tehsil (~1,100 km2 of a 4,183 km2 canvas vs the true Quetta ~2,653 km2) - Dasht is carved out and transferred to NA-261 Surab-cum-Kalat-cum-Mastung. Wikipedia gives NA-262 = Kuchlak + Saddar (the outer ring, 28% of the district electorate) and NA-264 = Quetta City areas plus census charges 13-14 (Kechi Baig, Shaboo, Shadinzai, on the west/south-west), leaving NA-263 as the largest block (Sariab plus the balance of the city). Saddar is split three ways anchored on each seat already-assigned cells. The archive holds ~6 Quetta representation sheets; digitising them should replace this."
NA-264,C105_Quetta,high,273,196762,Quetta-III,"sheet-split: Mobeen Khilji NA-262,263,264 Quetta, outline-fit","LOW CONFIDENCE. All three seats are Quetta-only (Form-47). NA-262 is the rural ring (Panjpai + Dasht + most of Saddar). The NA-263/NA-264 line inside Quetta city is undocumented - ECP splits the city by census charge. Shares set from Form-47 electorates (NA-262 239,192 / NA-263 418,280 / NA-264 196,762). CORRECTION applied after verification: the COD Quetta district polygon wrongly swallows the Mastung DASHT tehsil (~1,100 km2 of a 4,183 km2 canvas vs the true Quetta ~2,653 km2) - Dasht is carved out and transferred to NA-261 Surab-cum-Kalat-cum-Mastung. Wikipedia gives NA-262 = Kuchlak + Saddar (the outer ring, 28% of the district electorate) and NA-264 = Quetta City areas plus census charges 13-14 (Kechi Baig, Shaboo, Shadinzai, on the west/south-west), leaving NA-263 as the largest block (Sariab plus the balance of the city). Saddar is split three ways anchored on each seat already-assigned cells. The archive holds ~6 Quetta representation sheets; digitising them should replace this."
